  3.000000	 -0.028093	  0.044163	 -0.050524	  0.013696	 -0.017138	 -0.016077	 -0.106537	 -0.042382	 -0.249754	 -0.438132	 -0.688870	 -1.088174	 -2.023995	 -0.039681	  0.072203	 -0.052619	 -0.002984	  0.059125	  0.093653	  0.096387	 -0.055865	 -0.079840	  0.044923	  0.052047	  0.058954	 -0.014012
  3.040000	  0.082320	  0.027622	  0.034858	  0.011746	 -0.016964	  0.062053	  0.187161	  0.173460	  0.265064	  0.629156	  0.963518	  1.643663	  2.941847	 -0.011327	 -0.071509	 -0.013116	 -0.009034	 -0.037767	  0.001278	 -0.004320	  0.004289	 -0.017472	 -0.028824	 -0.019542	  0.075022	 -0.048786
  3.080000	 -0.048172	  0.021807	  0.028725	  0.142962	  0.061509	  0.046885	  0.256954	  0.521625	  0.774887	  1.438714	  2.467628	  4.395749	  7.774922	  0.027243	 -0.062247	  0.076836	 -0.053667	  0.008818	  0.045407	 -0.016829	  0.048006	  0.083807	  0.117971	 -0.102954	 -0.024053	 -0.046936
  3.120000	  0.033676	 -0.046400	  0.031659	  0.055041	  0.047021	  0.200894	  0.334779	  0.671578	  1.186563	  2.094854	  3.926045	  6.824907	 12.111951	 -0.054241	 -0.003509	  0.120145	  0.051483	  0.096323	  0.015807	 -0.075219	 -0.085934	  0.077032	  0.013904	  0.020877	 -0.034327	  0.126559
  3.160000	  0.064503	  0.010175	  0.059349	  0.089122	  0.182172	  0.235423	  0.419389	  0.889018	  1.612181	  2.783946	  4.945994	  8.813545	 15.838897	 -0.003782	 -0.017121	  0.054394	  0.106339	  0.067909	  0.046614	 -0.041401	 -0.076433	  0.049401	 -0.042021	  0.008778	 -0.002554	  0.045274
  3.200000	  0.071036	  0.008498	  0.076424	  0.115878	  0.153531	  0.330282	  0.571305	  1.060997	  1.797041	  3.236372	  5.824392	 10.373432	 18.294765	  0.000947	 -0.020478	 -0.006678	  0.052773	  0.079820	 -0.031608	  0.080065	  0.023321	  0.041000	 -0.058218	 -0.023391	  0.019058	  0.062706
  3.240000	  0.054256	  0.074241	  0.054760	  0.054673	  0.294918	  0.291368	  0.612934	  1.071587	  1.995792	  3.519940	  6.257312	 11.125594	 19.707855	 -0.014158	  0.039394	  0.001184	 -0.002847	  0.056448	  0.036098	  0.014513	 -0.066654	  0.052598	  0.021916	  0.085352	  0.070628	 -0.000397
  3.280000	 -0.041513	  0.007292	  0.037890	  0.237902	  0.177510	  0.389678	  0.611784	  1.083207	  1.963902	  3.514804	  6.288117	 11.167689	 19.995867	  0.012500	  0.077489	 -0.003836	  0.104128	  0.079727	 -0.035906	  0.023486	  0.061290	 -0.038288	  0.056792	  0.020868	 -0.025536	 -0.007012
  3.320000	  0.017125	 -0.050409	  0.089391	  0.073672	  0.255596	  0.371834	  0.600122	  1.092929	  1.878710	  3.355734	  6.004278	 10.537636	 18.830775	  0.101047	 -0.014559	 -0.124884	  0.037518	 -0.051136	  0.023696	  0.031922	 -0.014614	 -0.033760	  0.078496	  0.107574	  0.082711	 -0.057876
  3.360000	  0.078769	  0.014278	  0.116126	  0.015994	  0.122170	  0.343861	  0.525569	  0.947610	  1.631254	  3.019002	  5.209691	  9.196873	 16.575123	 -0.003064	 -0.024778	  0.018316	 -0.000840	 -0.067789	  0.050688	 -0.024806	 -0.095177	  0.024035	  0.047833	  0.056758	 -0.016009	  0.046881
  3.400000	  0.075912	  0.035648	  0.022605	  0.062690	  0.014581	  0.337926	  0.300811	  0.739973	  1.310948	  2.382562	  4.212577	  7.609621	 13.300126	  0.065829	  0.080378	  0.003821	 -0.059577	 -0.035806	  0.027218	 -0.043090	  0.019632	 -0.100514	  0.103434	  0.005917	 -0.042754	 -0.074051
  3.440000	  0.003997	  0.075121	  0.100266	  0.032051	  0.080212	  0.156569	  0.206061	  0.548096	  0.855050	  1.602879	  2.900006	  5.113773	  9.171826	  0.089563	  0.088780	  0.028158	 -0.084219	 -0.065763	  0.049118	  0.015737	  0.106670	 -0.028766	  0.040205	  0.006013	 -0.061730	  0.015080
  3.480000	 -0.019880	 -0.057915	 -0.016238	 -0.025235	 -0.027281	  0.055615	  0.153422	  0.250833	  0.452302	  0.754362	  1.427449	  2.558018	  4.482129	  0.018772	  0.049902	 -0.012792	 -0.014473	 -0.036887	 -0.051217	  0.063121	  0.005152	  0.100686	  0.036761	 -0.027912	 -0.056538	  0.089167
  3.520000	  0.066233	 -0.045754	  0.072282	  0.035553	  0.025538	  0.031645	  0.018979	 -0.023129	 -0.044657	 -0.119355	 -0.163934	 -0.412932	 -0.523496	 -0.096830	 -0.003465	 -0.070153	 -0.090042	  0.038322	  0.085719	 -0.076645	  0.053900	 -0.063455	 -0.000136	 -0.113217	  0.057770	 -0.030666
  3.560000	 -0.057879	  0.006848	  0.104296	 -0.026162	  0.113564	 -0.125149	 -0.168653	 -0.259070	 -0.473425	 -1.018727	 -1.686259	 -3.109736	 -5.475043	 -0.035165	  0.042866	 -0.073655	 -0.006066	 -0.148233	  0.077369	 -0.071313	 -0.036289	  0.022858	  0.032639	 -0.046442	  0.075742	  0.024229
  3.600000	 -0.030900	 -0.007866	  0.050830	 -0.048776	 -0.100325	 -0.197665	 -0.202866	 -0.543434	 -0.980078	 -1.794756	 -3.229546	 -5.700901	-10.066298	  0.051769	  0.103343	  0.061542	  0.045439	  0.044456	  0.040998	 -0.070612	 -0.006829	 -0.064342	  0.022906	  0.063094	 -0.182187	 -0.011662
  3.640000	 -0.023997	 -0.000901	 -0.121121	 -0.137928	 -0.091356	 -0.228585	 -0.370342	 -0.802679	 -1.437111	 -2.535432	 -4.424515	 -7.921375	-14.128289	  0.046158	  0.053781	  0.019557	  0.034413	  0.050455	  0.016883	  0.095869	 -0.077662	  0.019119	  0.018372	 -0.013179	  0.061158	 -0.031792
  3.680000	 -0.013039	  0.059189	  0.010293	 -0.133711	 -0.173472	 -0.303993	 -0.604687	 -0.979549	 -1.699402	 -3.034231	 -5.435162	 -9.654847	-17.217188	  0.065282	 -0.076358	  0.006890	 -0.031473	  0.030260	 -0.003845	 -0.064799	  0.010857	 -0.000989	  0.023977	 -0.019134	 -0.018921	  0.017562
  3.720000	 -0.052924	 -0.135331	 -0.042675	 -0.168988	 -0.268994	 -0.316034	 -0.585669	 -1.089855	 -1.864283	 -3.387345	 -6.042915	-10.766180	-19.236448	  0.074768	  0.010958	 -0.009033	  0.045702	 -0.026699	  0.068299	 -0.063005	 -0.020810	  0.046056	  0.015284	 -0.045478	 -0.114106	  0.035846
  3.760000	 -0.015555	 -0.012034	 -0.000684	 -0.145805	 -0.177618	 -0.405952	 -0.581353	 -1.088770	 -2.041679	 -3.477289	 -6.363493	-11.240634	-20.003872	 -0.056090	  0.028748	 -0.023652	  0.030414	 -0.033448	 -0.032371	  0.008291	  0.011676	 -0.115787	  0.006842	 -0.058132	  0.056840	  0.033155
  3.800000	 -0.048793	  0.054083	 -0.067520	 -0.123319	 -0.219767	 -0.428775	 -0.561619	 -1.162770	 -1.994295	 -3.500098	 -6.136917	-11.090297	-19.576252	 -0.020194	  0.007073	  0.001751	  0.091900	  0.102847	  0.044590	  0.023930	 -0.006796	  0.009764	  0.008427	  0.076017	  0.019923	 -0.021466
  3.840000	 -0.033926	  0.080676	 -0.074689	 -0.094653	 -0.169228	 -0.343394	 -0.587033	 -1.042601	 -1.837581	 -3.190075	 -5.674668	-10.086816	-17.903753	  0.069013	 -0.090490	  0.057060	  0.019033	 -0.028281	 -0.020251	 -0.041294	  0.005155	  0.042205	  0.063277	  0.030327	  0.002728	 -0.006402
  3.880000	 -0.089658	 -0.038534	  0.003504	 -0.041041	 -0.160070	 -0.220538	 -0.543942	 -0.782987	 -1.516988	 -2.624208	 -4.730791	 -8.504399	-15.122976	 -0.039255	 -0.013245	 -0.057869	 -0.002742	 -0.041637	  0.071456	 -0.064229	 -0.057099	  0.016796	 -0.034617	  0.050675	  0.025333	 -0.057152
  3.920000	 -0.105402	 -0.099292	 -0.007633	 -0.019447	 -0.146876	 -0.267398	 -0.344155	 -0.614140	 -1.148235	 -2.057984	 -3.636823	 -6.516267	-11.329753	  0.008923	  0.027461	 -0.084435	  0.055000	  0.014313	  0.050973	 -0.039418	  0.026781	  0.086985	 -0.012906	 -0.043566	  0.036580	 -0.086106
  3.960000	 -0.000268	 -0.009296	 -0.042489	 -0.082920	 -0.022978	 -0.204004	 -0.237164	 -0.393785	 -0.687465	 -1.270786	 -2.066088	 -3.863699	 -6.891959	 -0.024076	 -0.004928	  0.009506	 -0.069466	  0.001008	 -0.006531	  0.052467	  0.030729	 -0.039280	  0.025767	 -0.000783	  0.056241	 -0.044162
  4.000000	 -0.024107	  0.037132	  0.062759	 -0.002237	 -0.063873	 -0.032155	 -0.009141	 -0.115535	 -0.218853	 -0.333881	 -0.594564	 -1.215499	 -1.965105	 -0.031849	  0.040417	 -0.028405	  0.080239	  0.054020	  0.034898	 -0.003406	  0.036566	  0.039014	 -0.065346	 -0.012043	 -0.007331	 -0.039328
  4.040000	 -0.031935	 -0.038673	 -0.064859	 -0.044313	  0.043689	 -0.012015	  0.097903	  0.134631	  0.251708	  0.507183	  0.887173	  1.652670	  3.054578	 -0.046594	  0.063901	 -0.070101	  0.004205	  0.025855	  0.008604	 -0.004403	 -0.041399	  0.078337	  0.002304	 -0.006902	  0.044306	 -0.006878
  4.080000	  0.003727	 -0.040422	 -0.099658	  0.005499	  0.111141	  0.232548	  0.243685	  0.551732	  0.761762	  1.458736	  2.416995	  4.342339	  7.833244	  0.033805	 -0.116202	  0.129707	 -0.061590	  0.067249	 -0.009460	  0.017395	 -0.041366	  0.036841	  0.025683	  0.023442	 -0.004027	 -0.056471
  4.120000	  0.014175	  0.053414	  0.034094	  0.122349	  0.080863	  0.238651	  0.311586	  0.687325	  1.173741	  2.210118	  3.831263	  6.791314	 12.095131	  0.057520	 -0.006362	 -0.005179	  0.062358	  0.040526	  0.039596	  0.006370	 -0.059247	 -0.075540	  0.043950	  0.027884	  0.027437	  0.055250
  4.160000	  0.042015	 -0.079774	  0.030834	  0.186477	  0.174422	  0.260830	  0.451092	  0.849187	  1.576129	  2.857171	  4.935860	  8.800056	 15.633875	 -0.048541	 -0.019399	  0.104306	 -0.054579	 -0.067423	  0.026247	 -0.000074	  0.036827	  0.039376	 -0.079618	  0.061658	 -0.065054	 -0.017994
  4.200000	 -0.020284	  0.046662	  0.083317	  0.068946	  0.150770	  0.306475	  0.534671	  0.935864	  1.810887	  3.173190	  5.802727	 10.315729	 18.383525	  0.028784	  0.014233	  0.024018	  0.003277	  0.029276	 -0.017371	 -0.033152	  0.045360	  0.004995	  0.001449	  0.028095	 -0.039044	  0.004489
  4.240000	 -0.000594	  0.024181	 -0.066065	  0.125734	  0.215300	  0.443652	  0.700397	  1.087235	  1.993882	  3.542485	  6.231323	 11.007605	 19.700554	 -0.049478	 -0.033756	  0.039776	  0.048864	 -0.054262	  0.068568	  0.052249	  0.007215	  0.015005	 -0.024004	 -0.041832	  0.038809	 -0.058311
  4.280000	  0.027163	  0.006601	  0.002466	  0.165230	  0.208811	  0.399637	  0.588959	  1.146434	  2.070515	  3.629743	  6.225710	 11.241825	 19.899298	  0.026383	  0.072536	  0.049635	  0.048156	  0.050941	  0.007110	 -0.013667	  0.099965	 -0.012855	  0.041950	 -0.004625	 -0.082385	  0.034740
  4.320000	 -0.007481	  0.032077	  0.088609	  0.075498	  0.273597	  0.410918	  0.607798	  1.043156	  1.902721	  3.380145	  6.069183	 10.541365	 18.753225	 -0.033124	 -0.000876	  0.114916	 -0.015147	  0.033263	 -0.082369	 -0.072385	 -0.043822	 -0.039700	  0.002412	 -0.039959	  0.042895	 -0.021471
  4.360000	 -0.005608	  0.087837	  0.064026	  0.037479	  0.134213	  0.242127	  0.465328	  0.954723	  1.788142	  2.847126	  5.204962	  9.336089	 16.625561	 -0.002156	  0.031272	  0.004646	  0.063607	 -0.048071	 -0.003262	  0.008373	  0.029804	 -0.101945	  0.038734	 -0.058052	  0.004159	  0.020379
  4.400000	 -0.003070	  0.114021	  0.096036	  0.068870	  0.121072	  0.228020	  0.501111	  0.753850	  1.382388	  2.376851	  4.167947	  7.563489	 13.268233	 -0.041138	  0.020967	 -0.089953	 -0.070239	  0.002042	 -0.041374	  0.080599	 -0.001155	  0.025527	  0.002682	  0.029039	 -0.075788	 -0.014834
  4.440000	 -0.037249	 -0.007722	  0.061758	  0.065198	  0.020618	  0.096360	  0.366599	  0.456814	  0.972203	  1.600578	  2.932250	  5.126165	  9.162686	  0.063193	  0.065447	 -0.024304	 -0.043736	  0.037598	 -0.062855	 -0.055205	  0.001601	  0.029731	  0.000869	 -0.032407	 -0.089995	 -0.036775
  4.480000	  0.010031	  0.074295	  0.087068	  0.004947	 -0.013559	  0.081268	  0.160218	  0.333815	  0.404064	  0.805214	  1.523913	  2.510754	  4.526776	 -0.053894	  0.040790	  0.029209	 -0.028359	  0.006304	 -0.015861	  0.052235	  0.039174	  0.074348	  0.012368	  0.002679	 -0.063484	  0.034939
  4.520000	  0.007372	  0.019991	 -0.004593	  0.058748	  0.045266	 -0.008301	 -0.022879	 -0.021811	 -0.157261	 -0.035869	 -0.181002	 -0.186835	 -0.461009	  0.019124	  0.036466	  0.045703	  0.021081	 -0.037152	 -0.038135	  0.025983	 -0.063478	 -0.106611	  0.044850	  0.013092	 -0.005952	  0.035180
  4.560000	  0.041192	 -0.093802	  0.034701	 -0.011448	 -0.046046	 -0.073126	 -0.152628	 -0.258889	 -0.548564	 -0.916652	 -1.741524	 -2.972100	 -5.337311	 -0.005900	 -0.010613	  0.055587	  0.069218	  0.071714	  0.042987	  0.003940	  0.010618	  0.000529	  0.019038	  0.016483	  0.053186	  0.026310
  4.600000	 -0.064071	  0.014159	  0.093781	 -0.020330	 -0.088772	 -0.165920	 -0.331190	 -0.548186	 -0.835379	 -1.524621	 -2.769137	 -4.916992	 -8.750720	 -0.031983	 -0.042000	  0.012199	 -0.045137	 -0.048648	 -0.062631	  0.021766	  0.055580	  0.031158	  0.000194	 -0.024255	 -0.022058	 -0.037488
  4.640000	 -0.021994	 -0.035600	 -0.013157	 -0.017534	 -0.099665	 -0.123897	 -0.456464	 -0.646688	 -1.045973	 -1.800525	 -3.262223	 -5.653425	-10.198162	 -0.090676	 -0.014039	  0.000330	  0.023685	  0.012074	 -0.035860	 -0.003158	 -0.011410	 -0.041797	  0.057137	 -0.027633	 -0.000662	 -0.070099
  4.680000	 -0.024339	 -0.086269	 -0.077498	 -0.085833	 -0.085386	 -0.045045	 -0.204037	 -0.503245	 -0.990959	 -1.710391	 -3.041791	 -5.425618	 -9.645445	  0.065407	 -0.074060	  0.059895	  0.005120	  0.005390	 -0.023271	  0.012026	  0.023592	  0.117825	 -0.034453	  0.062636	 -0.018315	  0.054686
  4.720000	 -0.002213	  0.033923	  0.006601	 -0.088363	 -0.091401	 -0.174734	 -0.251356	 -0.371801	 -0.802726	 -1.322432	 -2.356616	 -4.221049	 -7.656412	  0.072281	 -0.104129	 -0.008466	  0.040684	 -0.078228	 -0.069117	  0.048244	  0.012025	  0.004471	  0.007134	  0.033667	 -0.065173	  0.001197
  4.760000	 -0.030416	  0.125474	 -0.020498	 -0.077706	 -0.022402	 -0.101201	 -0.081360	 -0.273715	 -0.535015	 -0.913633	 -1.619477	 -2.859240	 -5.120769	 -0.015029	 -0.041729	 -0.046158	  0.065709	 -0.059204	 -0.023574	 -0.066282	  0.004396	  0.040569	  0.015882	 -0.037789	  0.007470	  0.052403
  4.800000	  0.083988	  0.055868	 -0.009550	 -0.051379	  0.021686	 -0.006680	 -0.035921	 -0.083909	 -0.256583	 -0.409397	 -0.886278	 -1.631689	 -2.752012	  0.002087	 -0.040376	  0.017852	  0.081958	 -0.005918	 -0.021055	  0.016533	  0.012112	  0.017532	  0.024094	 -0.035731	 -0.009865	 -0.001607
  4.840000	 -0.011904	  0.004149	  0.026194	 -0.062359	  0.047684	 -0.033105	  0.007216	 -0.181234	 -0.123966	 -0.236836	 -0.395112	 -0.651009	 -1.247025	  0.088811	 -0.122012	 -0.013811	  0.041496	  0.098776	 -0.082679	 -0.098768	  0.043583	  0.048683	 -0.032522	  0.039333	 -0.085292	 -0.082156
  4.880000	 -0.101708	  0.061710	 -0.046388	  0.045570	  0.025259	 -0.016182	  0.032265	 -0.042659	  0.036871	  0.003936	 -0.143641	 -0.268904	 -0.360251	 -0.042153	  0.076186	  0.062580	  0.028011	  0.043262	 -0.094527	  0.115379	  0.067423	 -0.055692	 -0.118033	 -0.047803	 -0.036131	  0.039825
  4.920000	  0.031370	 -0.029192	  0.022857	 -0.082039	  0.007090	  0.118412	  0.075926	 -0.032100	  0.044544	 -0.019184	  0.012735	  0.009142	 -0.008206	 -0.014701	  0.005689	  0.044297	 -0.028060	  0.135262	 -0.003196	  0.011351	 -0.060003	 -0.054528	 -0.028619	  0.029511	  0.013017	  0.016638
  4.960000	 -0.111117	 -0.062523	 -0.048734	 -0.041595	 -0.013753	  0.030911	  0.044362	  0.007465	 -0.046621	  0.045862	  0.014578	 -0.070050	 -0.024793	 -0.008480	  0.072106	 -0.004221	 -0.033941	  0.017653	  0.014774	 -0.070528	  0.007161	 -0.038608	  0.014204	 -0.004683	  0.059299	  0.004875
  5.000000	 -0.001577	  0.058123	  0.011517	  0.015596	 -0.032300	 -0.034115	  0.037834	  0.098822	 -0.031603	  0.044418	 -0.032680	  0.004149	 -0.110963	 -0.044556	  0.023407	 -0.081044	  0.095404	  0.037718	 -0.001411	  0.023591	  0.011505	 -0.039793	 -0.066124	  0.008816	  0.016211	  0.108222
  5.040000	  0.018971	  0.099851	  0.067200	  0.054932	  0.090784	 -0.017935	  0.062619	  0.090232	 -0.015453	 -0.015138	 -0.019200	  0.033860	  0.029967	  0.002425	 -0.056407	 -0.054262	  0.068989	 -0.047836	  0.000002	 -0.020573	  0.009377	 -0.009534	 -0.042396	 -0.043265	 -0.035026	 -0.066381
  5.080000	  0.030647	 -0.054089	  0.033271	 -0.046241	  0.002812	  0.089584	  0.000951	 -0.046671	 -0.018332	 -0.137423	  0.027472	  0.004725	 -0.033205	  0.025723	  0.017552	 -0.083885	  0.110722	  0.031485	  0.006821	  0.017767	 -0.012587	  0.012956	 -0.023686	  0.020342	 -0.065123	  0.051637
  5.120000	 -0.006092	  0.062417	  0.070462	 -0.031868	  0.009602	  0.009074	  0.063731	 -0.047217	  0.006139	 -0.052942	  0.017398	 -0.064583	 -0.001547	 -0.005841	 -0.006947	 -0.028590	 -0.016785	  0.067012	 -0.006501	  0.023276	  0.010131	 -0.060460	  0.007831	  0.038376	 -0.001602	  0.050693
  5.160000	 -0.062164	 -0.017507	  0.029923	 -0.022006	 -0.010257	 -0.017480	 -0.039753	  0.001069	 -0.060347	  0.049071	  0.041370	  0.014266	 -0.020462	  0.018537	  0.050886	 -0.083127	 -0.108170	 -0.002391	  0.036380	  0.048828	  0.068064	  0.055405	 -0.009673	  0.022705	  0.043528	 -0.008960
  5.200000	  0.001605	  0.038298	  0.045197	  0.009297	  0.063128	  0.022812	 -0.019935	 -0.165559	 -0.049461	 -0.003156	  0.032450	  0.112867	  0.036430	  0.016848	 -0.107531	  0.005917	  0.000604	  0.108382	 -0.023409	  0.034169	 -0.025372	  0.022272	 -0.030334	 -0.099699	  0.058174	  0.015521
  5.240000	  0.032684	 -0.002841	 -0.086499	 -0.032828	 -0.009147	 -0.027986	 -0.089061	 -0.015428	 -0.002481	 -0.007739	 -0.006284	 -0.047633	 -0.076137	 -0.053472	 -0.030173	 -0.067490	 -0.080130	 -0.078714	  0.024825	 -0.010313	 -0.031070	  0.027519	  0.030178	  0.024111	 -0.045153	 -0.030307
  5.280000	  0.027591	 -0.025685	 -0.052578	  0.030787	  0.006631	 -0.003194	  0.059144	  0.011170	 -0.011414	  0.041045	  0.043201	  0.060044	 -0.035846	 -0.019872	  0.045097	 -0.051948	  0.039935	  0.030216	 -0.056847	 -0.023495	  0.085907	  0.029477	  0.015829	 -0.020459	 -0.000027	  0.050394
  5.320000	  0.064424	 -0.081103	 -0.075456	 -0.004227	  0.022461	  0.093171	  0.063595	 -0.012886	  0.029466	 -0.047855	  0.001845	 -0.041532	 -0.026091	  0.018241	 -0.043009	  0.081071	 -0.063333	  0.005810	  0.001692	  0.066405	 -0.026803	 -0.001817	  0.008896	 -0.069233	 -0.000990	  0.016420
  5.360000	  0.085219	 -0.031231	 -0.037256	  0.047945	  0.017475	 -0.002000	  0.084085	 -0.025565	 -0.004525	 -0.031157	  0.014937	  0.049114	 -0.076370	  0.022247	  0.018722	  0.007542	  0.044943	 -0.068597	 -0.045044	  0.119491	  0.055026	 -0.021740	 -0.056545	 -0.071413	  0.041391	 -0.078122
  5.400000	  0.060601	 -0.012472	 -0.014985	 -0.042382	  0.044770	  0.020554	  0.010117	  0.033289	  0.101480	 -0.113051	  0.071212	  0.005363	  0.045025	 -0.021529	 -0.023771	 -0.126018	 -0.068659	  0.015338	 -0.059696	  0.014814	 -0.047989	 -0.002774	 -0.019323	 -0.122186	  0.049505	 -0.019478
  5.440000	  0.016076	  0.015913	  0.041638	  0.040446	  0.088182	 -0.051411	  0.045645	 -0.004263	  0.015070	  0.018152	 -0.101606	  0.006877	 -0.017052	  0.039534	 -0.093680	 -0.016569	  0.013423	 -0.015563	 -0.122955	  0.050172	 -0.016034	  0.033706	 -0.052709	  0.069575	 -0.017997	  0.003314
  5.480000	  0.068708	  0.071816	  0.080685	  0.011477	 -0.028114	 -0.061746	 -0.005195	 -0.096038	  0.025067	 -0.014135	 -0.056591	 -0.080159	 -0.062992	  0.069378	  0.024036	  0.013541	  0.030780	 -0.019651	 -0.048291	  0.027489	 -0.062331	 -0.010889	  0.005872	 -0.002954	  0.008641	  0.069090
  5.520000	  0.009723	  0.047931	  0.019327	  0.008305	  0.054534	  0.032498	 -0.013532	  0.059286	 -0.012870	 -0.067766	 -0.062260	  0.050238	  0.007659	  0.010361	  0.069011	  0.002428	  0.005430	 -0.041283	  0.040173	 -0.015025	 -0.078613	 -0.010249	 -0.051524	 -0.075680	 -0.026615	 -0.036628
  5.560000	 -0.013495	  0.079089	 -0.033397	 -0.081993	 -0.123757	  0.043217	 -0.021398	  0.003840	 -0.089918	  0.056052	 -0.034527	  0.003126	  0.057511	 -0.042784	 -0.069112	  0.036041	 -0.021612	 -0.057723	 -0.049347	  0.057450	  0.030284	 -0.221912	  0.003524	 -0.043085	 -0.080317	  0.045426
  5.600000	 -0.014079	 -0.055981	 -0.000901	  0.052999	 -0.002651	 -0.002556	 -0.059445	  0.031343	 -0.099013	  0.023680	  0.008046	  0.037466	 -0.049048	 -0.007791	 -0.025123	  0.021365	  0.062282	  0.024235	 -0.135793	  0.009876	 -0.036053	  0.029692	  0.069785	  0.006883	  0.008398	  0.093124
  5.640000	 -0.196198	  0.097966	 -0.092593	 -0.017334	  0.001628	  0.009579	  0.008742	  0.000642	  0.101359	 -0.077719	  0.018205	  0.058389	  0.122342	  0.073555	  0.022057	 -0.127376	  0.013977	 -0.020606	 -0.027747	 -0.000770	 -0.000819	  0.037696	  0.038013	 -0.070192	  0.002685	  0.032879
  5.680000	  0.024985	  0.031150	 -0.074406	 -0.075707	  0.119506	  0.074247	  0.042114	  0.044074	  0.015345	  0.106731	 -0.037539	  0.029610	 -0.022987	 -0.069484	  0.017576	  0.053684	  0.036535	 -0.024145	 -0.003418	  0.004493	  0.034882	  0.017398	 -0.011119	 -0.050423	  0.003166	  0.011231
  5.720000	  0.045034	 -0.093057	  0.063742	  0.033725	 -0.012303	 -0.001784	  0.065091	  0.003307	  0.035963	  0.038656	 -0.008934	 -0.089451	  0.004992	 -0.049683	 -0.061444	 -0.049334	 -0.096303	 -0.085299	  0.010983	 -0.006114	  0.090017	 -0.080431	  0.018631	  0.066133	 -0.040472	  0.048311
  5.760000	 -0.036619	 -0.089363	 -0.033570	  0.083857	  0.022134	  0.012973	  0.008312	  0.053568	 -0.022967	  0.041444	  0.039928	  0.022944	  0.070727	  0.037148	 -0.069639	  0.008542	 -0.038732	  0.040640	 -0.042679	 -0.008011	 -0.020258	  0.011707	 -0.027508	 -0.026189	 -0.023712	  0.003552
  5.800000	 -0.006351	 -0.098167	 -0.024966	  0.005718	  0.073138	 -0.031213	  0.054549	  0.059363	  0.049342	  0.109396	  0.034580	 -0.027308	 -0.088558	 -0.004002	 -0.044465	  0.004531	  0.000137	 -0.013753	 -0.032168	  0.038466	 -0.040773	 -0.011119	 -0.059554	 -0.002096	  0.043878	  0.059345
  5.840000	  0.009155	  0.002831	 -0.028657	 -0.048869	 -0.027837	 -0.031712	  0.001675	 -0.029670	 -0.007527	 -0.010049	 -0.083191	 -0.101551	  0.066162	 -0.034553	 -0.049111	  0.044735	  0.011822	 -0.019301	  0.126048	 -0.024425	 -0.063413	 -0.019448	 -0.035915	  0.047786	 -0.074745	  0.018002
  5.880000	  0.064460	 -0.038948	 -0.103553	 -0.003145	  0.073004	 -0.010226	  0.026371	  0.009253	  0.091191	 -0.019317	  0.050134	 -0.012606	  0.029520	  0.106810	 -0.063684	 -0.004400	  0.047302	  0.033696	 -0.014146	  0.049437	 -0.057316	 -0.003392	 -0.070938	  0.002483	 -0.019167	  0.015479
  5.920000	  0.045622	 -0.032797	  0.083961	  0.031384	  0.024820	  0.045323	 -0.075729	  0.009852	  0.025017	 -0.060354	 -0.048931	 -0.022319	 -0.119384	 -0.085937	  0.032667	 -0.006886	 -0.007007	 -0.076415	  0.031730	 -0.013155	  0.028114	  0.052636	  0.043886	  0.054579	  0.067994	  0.040043
  5.960000	 -0.048960	  0.018424	  0.060480	  0.056776	  0.000681	  0.036909	 -0.104717	  0.028979	  0.023044	  0.023431	  0.034078	 -0.120421	  0.008323	 -0.033736	  0.018960	 -0.002702	 -0.048288	  0.012345	 -0.077841	  0.004824	 -0.043693	 -0.009534	  0.033335	  0.001302	  0.015100	  0.003434
  6.000000	  0.087700	  0.016630	  0.026235	 -0.104296	 -0.047562	 -0.026842	  0.019882	  0.073439	  0.009036	  0.013420	 -0.072086	  0.014555	 -0.044820	 -0.003631	 -0.067937	  0.026890	 -0.030923	 -0.021673	  0.059315	  0.027676	  0.016145	  0.030605	 -0.018166	 -0.075274	  0.025343	  0.047635
  6.040000	 -0.069870	 -0.088752	  0.015229	 -0.033326	  0.034375	  0.018720	  0.003081	  0.019183	  0.063343	  0.017035	 -0.012606	 -0.000459	 -0.038375	 -0.004559	  0.034042	 -0.042031	 -0.128548	  0.007525	 -0.011328	 -0.020768	  0.008999	 -0.005823	  0.094953	  0.067504	  0.026427	 -0.000522
  6.080000	 -0.031863	  0.038614	  0.030958	  0.043097	  0.084709	 -0.035241	 -0.088196	 -0.060197	  0.004734	  0.027618	  0.103166	 -0.001284	  0.087197	  0.024814	  0.019200	 -0.071625	  0.007608	  0.040538	 -0.037913	 -0.050927	  0.013999	 -0.058162	 -0.022111	  0.000424	  0.078710	  0.025819
  6.120000	  0.055985	 -0.045218	  0.032673	  0.095009	 -0.041829	  0.044112	 -0.009294	 -0.066970	 -0.054173	 -0.109913	 -0.014320	  0.029847	  0.064014	  0.074995	 -0.100843	 -0.055059	  0.054390	 -0.092771	  0.028861	  0.095696	 -0.027699	 -0.009268	 -0.017251	 -0.018244	  0.049809	  0.002675
  6.160000	  0.030024	 -0.005752	 -0.061326	 -0.017354	 -0.008855	  0.052992	 -0.039047	  0.002891	 -0.055599	  0.045798	  0.100569	 -0.028492	 -0.007013	 -0.055699	 -0.025645	  0.047621	  0.045785	 -0.016589	  0.041198	  0.027896	 -0.028226	 -0.099659	  0.023076	 -0.017123	  0.002285	  0.023539
